variable,,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,PGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,RGDP,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL,TBILL
k,,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
date,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q1,GB_0,9.3,9.8,9.2,11.2,11.7,8.7,8.6,9.1,8.0,7.6,7.5,8.1,,3.1,-9.9,2.4,5.0,1.3,-2.2,0.6,0.7,0.7,0.3,0.6,1.0,,13.345967741935485,9.618253968253969,9.13546875,13.61,15.0,14.0,15.25,16.25,16.5,16.75,17.0,17.0,
1981Q1,GB_1,9.3,9.8,9.2,10.7,9.1,8.9,8.7,9.0,8.0,7.7,7.6,8.3,,3.1,-9.9,2.4,3.8,5.8,0.0,0.8,0.5,0.3,0.3,0.6,1.2,,13.345967741935485,9.618253968253969,9.13546875,13.61,14.25,14.5,16.0,17.0,17.0,17.0,17.0,17.0,
1981Q2,GB_0,9.8,9.2,10.7,7.8,8.1,8.2,8.3,7.6,7.3,7.1,7.8,,,-9.9,2.4,3.8,6.5,1.0,0.3,1.5,0.2,0.4,1.5,1.5,,,9.618253968253969,9.13546875,13.604918032786886,14.39,15.5,16.5,16.5,16.75,17.0,17.0,17.0,,
1981Q3,GB_0,9.2,10.7,9.8,6.3,7.3,9.1,7.2,7.0,6.6,7.3,,,,2.4,3.8,8.6,0.2,0.3,1.1,0.4,0.2,2.0,2.3,,,,9.13546875,13.604918032786886,14.352950819672131,14.875,15.0,15.5,16.0,16.0,16.0,16.0,,,
1981Q3,GB_1,9.2,10.7,9.8,6.0,7.2,9.3,6.6,6.8,6.5,7.2,,,,2.4,3.8,8.6,-1.9,-0.2,1.0,0.3,0.3,2.2,2.8,,,,9.13546875,13.604918032786886,14.352950819672131,14.9,15.25,15.75,16.0,16.0,16.0,16.0,,,
1981Q3,GB_2,9.2,10.7,9.8,6.4,8.4,8.8,6.7,6.9,6.5,7.0,,,,2.4,3.8,8.6,-1.6,-0.6,-1.8,0.2,0.3,2.9,3.2,,,,9.13546875,13.604918032786886,14.352950819672131,14.9,14.75,14.5,14.0,13.5,14.0,14.5,,,
1981Q4,GB_0,10.7,9.8,6.4,9.4,9.6,7.1,7.3,6.6,7.3,,,,,3.8,8.6,-1.6,-0.6,-4.2,-1.8,0.9,3.3,3.2,,,,,13.604918032786886,14.352950819672131,14.885396825396825,15.05,12.0,11.0,12.0,13.0,14.0,,,,
1981Q4,GB_1,10.7,9.8,6.4,9.5,9.0,6.9,7.1,6.4,6.7,,,,,3.8,8.6,-1.6,0.6,-5.5,-2.2,1.9,4.1,3.1,,,,,13.604918032786886,14.352950819672131,14.885396825396825,15.05078125,11.75,11.25,12.0,13.0,13.5,13.5,11.75,12.0,13.5
1982Q1,GB_0,9.8,6.4,9.9,8.4,6.7,6.9,6.1,6.1,5.5,5.0,4.7,5.3,,8.6,-1.6,1.4,-5.2,-4.0,1.3,4.5,3.7,1.4,1.4,3.9,2.7,,14.352950819672131,14.885396825396825,15.05078125,11.75,12.375,11.75,12.5,13.0,12.5,11.5,12.25,12.5,
1982Q1,GB_1,9.8,6.4,9.9,9.5,5.0,6.6,5.4,5.5,5.0,4.8,4.2,5.2,,8.6,-1.6,1.4,-4.5,-4.5,2.1,5.1,3.9,1.9,2.1,4.5,3.1,,14.352950819672131,14.885396825396825,15.05078125,11.75,12.75,12.0,12.0,12.0,11.75,11.25,12.0,12.5,
1982Q2,GB_0,6.4,9.9,9.5,3.6,6.0,5.5,5.7,4.7,4.6,3.9,4.9,,,-1.6,1.4,-4.5,-3.9,0.4,3.9,3.1,2.3,2.5,4.6,3.5,,,14.885396825396825,15.05078125,11.777868852459017,12.81,12.25,11.25,11.25,11.25,11.25,12.0,12.5,,
1982Q2,GB_1,6.4,9.9,9.5,3.8,6.1,5.7,5.4,4.6,4.5,3.8,4.5,,,-1.6,1.4,-4.5,-3.7,0.7,2.5,2.9,1.9,2.0,4.1,4.0,,,14.885396825396825,15.05078125,11.777868852459017,12.81,12.375,12.25,11.75,11.75,12.0,12.25,12.5,,
1982Q3,GB_0,9.0,8.8,4.3,5.3,6.4,5.2,4.9,4.1,3.8,4.2,,,,2.2,-5.3,-5.1,1.7,1.0,2.3,2.5,1.9,4.2,3.8,,,,15.05078125,11.777868852459017,12.78327868852459,12.42,10.0,9.5,10.25,10.5,11.0,11.5,,,
1982Q3,GB_1,9.0,8.8,4.3,4.6,6.4,5.4,4.8,4.1,3.9,4.3,,,,2.2,-5.3,-5.1,2.1,0.1,1.0,2.2,2.3,3.9,4.0,,,,15.05078125,11.777868852459017,12.78327868852459,12.42,9.5,7.75,8.5,9.0,10.0,10.5,,,
1982Q4,GB_0,8.8,4.3,4.6,5.4,6.0,5.0,4.1,3.4,3.9,,,,,-5.3,-5.1,2.1,0.8,-0.6,1.9,2.0,4.4,4.3,,,,,11.777868852459017,12.78327868852459,12.425079365079364,9.32,7.5,7.5,8.0,9.5,10.0,,,,
1982Q4,GB_1,8.8,4.3,4.6,4.7,6.0,4.4,4.2,3.9,4.0,,,,,-5.3,-5.1,2.1,0.0,-1.8,1.9,2.0,3.9,4.6,,,,,11.777868852459017,12.78327868852459,12.425079365079364,9.32,8.0,7.5,7.5,7.5,7.5,7.0,7.0,6.75,6.75
1983Q1,GB_0,4.3,4.6,5.0,4.3,4.5,3.6,3.8,3.6,3.5,3.5,3.8,4.2,,-5.1,2.1,0.7,-2.5,3.5,2.6,3.9,3.9,4.2,4.1,4.4,4.6,,12.78327868852459,12.425079365079364,9.30640625,7.9,8.0,7.5,7.5,7.75,7.75,7.5,7.25,7.25,
1983Q1,GB_1,4.3,4.6,5.0,3.7,3.8,4.5,3.0,3.2,3.4,3.4,3.4,3.7,,-5.1,2.1,0.7,-1.1,4.1,3.5,4.5,4.4,4.4,4.3,4.8,5.0,,12.78327868852459,12.425079365079364,9.30640625,7.9,8.0,8.0,8.0,7.75,7.5,7.5,7.25,7.25,
1983Q2,GB_0,4.6,5.0,3.7,5.8,3.2,3.1,3.2,3.1,3.4,3.4,4.0,,,2.1,0.7,-1.1,3.1,5.5,4.8,5.0,4.7,4.6,4.8,4.9,,,12.425079365079364,9.30640625,7.902950819672131,8.11,8.125,8.125,8.125,8.0,7.75,7.75,7.75,,
1983Q3,GB_0,5.0,3.7,5.5,3.6,3.3,3.1,3.5,3.9,4.3,4.3,,,,0.7,-1.1,2.6,7.5,7.1,5.0,4.3,4.2,4.1,4.1,,,,9.30640625,7.902950819672131,8.113650793650795,8.4,9.0,9.25,9.25,8.75,8.5,8.5,,,
1983Q3,GB_1,3.7,3.8,5.5,4.5,3.8,3.6,4.5,4.3,4.5,4.5,,,,-1.0,-1.3,2.6,8.7,8.2,4.8,4.1,4.1,3.8,3.8,,,,9.30640625,7.902950819672131,8.113650793650795,8.4,9.375,9.5,9.125,8.75,8.5,8.5,,,
1983Q3,GB_2,3.7,3.8,5.5,3.3,4.0,4.1,4.5,4.3,4.4,4.5,,,,-1.0,-1.3,2.6,9.7,6.9,4.8,4.1,4.3,4.4,4.1,,,,9.30640625,7.902950819672131,8.113650793650795,8.4,9.125,8.75,8.75,8.75,8.5,8.5,,,
1983Q4,GB_0,3.8,5.5,3.3,3.4,4.6,4.7,4.6,4.5,4.6,,,,,-1.3,2.6,9.7,7.9,6.3,4.8,4.2,4.2,4.2,,,,,7.902950819672131,8.113650793650795,8.407936507936508,9.14,8.75,9.25,9.0,8.75,8.75,,,,
